Team,PossDefense,PPPDefense
Atlanta Hawks,2460.84,0.992344077632028
Boston Celtics,2345.48,1.0641744973310368
Cleveland Cavaliers,2184.0,1.034798534798535
New Orleans Pelicans,2455.8,1.1026956592556396
Chicago Bulls,2504.64,0.9905615178229207
Dallas Mavericks,2076.68,1.0656432382456613
Denver Nuggets,2232.64,1.0879496918446325
Golden State Warriors,2462.32,1.1294226583059879
Houston Rockets,2206.64,1.0971431678932677
Los Angeles Clippers,2232.24,1.105615883596746
Los Angeles Lakers,2345.08,1.0545482456888464
Miami Heat,2207.0,1.0321703670140463
Milwaukee Bucks,2353.0,1.134721631959201
Minnesota Timberwolves,2377.52,1.0624516302701976
Brooklyn Nets,2464.28,1.0619734770399467
New York Knicks,2506.84,1.0435448612595937
Orlando Magic,2331.6,1.0439183393377938
Indiana Pacers,2323.92,1.0508106991634825
Philadelphia 76ers,2549.12,1.0791959578207382
Phoenix Suns,2246.08,1.0115401054281237
Portland Trail Blazers,2272.72,1.091203491851174
Sacramento Kings,2347.16,1.0715076944051536
San Antonio Spurs,2220.16,1.074697319112136
Oklahoma City Thunder,2188.08,1.0561771050418631
Toronto Raptors,2489.68,1.129060762828958
Utah Jazz,2339.36,1.0413104438820873
Memphis Grizzlies,2098.12,1.0495109907917566
Washington Wizards,2429.4,1.057874372272989
Detroit Pistons,2107.76,1.0584696549891828
Charlotte Hornets,2299.76,1.097070998712909
